case	case.type	time
0	local	1
0	local	2
0	local	3
0	local	4
0	local	5
0	local	6
0	local	7
1	local	8
0	local	9
0	local	10
0	local	11
1	local	12
0	local	13
0	local	14
1	local	15
1	local	16
0	local	17
1	local	18
0	local	19
2	local	20
1	local	21
2	local	22
5	local	23
7	local	24
7	local	25
7	local	26
3	local	27
4	local	28
2	local	29
3	local	30
0	local	31
0	local	32
3	local	33
3	local	34
1	local	35
2	local	36
1	local	37
1	local	38
2	input	1
0	input	2
1	input	3
2	input	4
0	input	5
1	input	6
0	input	7
1	input	8
1	input	9
0	input	10
1	input	11
2	input	12
1	input	13
1	input	14
1	input	15
6	input	16
4	input	17
5	input	18
13	input	19
17	input	20
12	input	21
24	input	22
24	input	23
25	input	24
16	input	25
26	input	26
21	input	27
15	input	28
10	input	29
15	input	30
6	input	31
12	input	32
3	input	33
6	input	34
4	input	35
5	input	36
1	input	37
0	input	38
