case	case.type	time
1	local	1
2	local	2
0	local	3
2	local	4
0	local	5
1	local	6
4	local	7
2	local	8
0	local	9
1	local	10
7	local	11
6	local	12
16	local	13
9	local	14
19	local	15
14	local	16
26	local	17
8	local	18
20	local	19
18	local	20
5	local	21
16	local	22
15	local	23
9	local	24
9	local	25
9	local	26
7	local	27
8	local	28
5	local	29
11	local	30
1	local	31
1	local	32
1	input	1
0	input	2
1	input	3
2	input	4
3	input	5
2	input	6
4	input	7
8	input	8
5	input	9
17	input	10
12	input	11
21	input	12
16	input	13
15	input	14
15	input	15
12	input	16
12	input	17
12	input	18
6	input	19
6	input	20
2	input	21
4	input	22
4	input	23
1	input	24
0	input	25
0	input	26
0	input	27
0	input	28
1	input	29
0	input	30
0	input	31
0	input	32
