case	case.type	time
1	input	1
0	input	2
0	input	3
0	input	4
0	input	5
0	input	6
0	input	7
0	input	8
2	input	9
0	input	10
0	input	11
0	input	12
2	input	13
4	input	14
6	input	15
9	input	16
8	input	17
4	input	18
3	input	19
3	input	20
0	input	21
2	input	22
5	input	23
5	input	24
3	input	25
9	input	26
0	input	27
3	input	28
2	input	29
3	input	30
1	input	31
0	input	32
0	input	33
0	input	34
0	local	1
0	local	2
0	local	3
0	local	4
0	local	5
0	local	6
0	local	7
0	local	8
2	local	9
0	local	10
0	local	11
0	local	12
2	local	13
2	local	14
3	local	15
1	local	16
0	local	17
0	local	18
1	local	19
0	local	20
1	local	21
3	local	22
3	local	23
4	local	24
2	local	25
6	local	26
9	local	27
3	local	28
4	local	29
3	local	30
2	local	31
3	local	32
3	local	33
0	local	34
